Date,Open,High,Low,Close,Adj Close,Volume
2019-11-22,423.000000,429.950012,417.000000,420.649994,420.649994,16775621
2019-11-25,421.350006,455.649994,421.350006,451.399994,451.399994,33483563
2019-11-26,445.000000,447.000000,429.899994,432.350006,432.350006,23466171
2019-11-27,433.500000,437.000000,426.399994,433.350006,433.350006,13336531
2019-11-28,433.350006,443.899994,428.500000,436.649994,436.649994,21940833
2019-11-29,439.600006,449.649994,435.149994,442.450012,442.450012,20010753
2019-12-02,471.149994,485.600006,455.049988,458.600006,458.600006,55735805
2019-12-03,462.799988,465.049988,445.250000,459.100006,459.100006,23871561
2019-12-04,460.850006,464.799988,454.700012,461.399994,461.399994,16541195
2019-12-05,463.299988,463.600006,445.350006,447.350006,447.350006,17317332
2019-12-06,451.899994,452.399994,442.850006,444.850006,444.850006,11415172
